flight_ID,scheduled_flt_time,scheduled_flt_time_Local,BGATE_ID,
AQ1025,2016/9/10 22:15,2016/9/11 6:15,B905,
KY9613,2016/9/10 22:20,2016/9/11 6:20,A17,
ZH9613,2016/9/10 22:20,2016/9/11 6:20,A17,
CA3759,2016/9/10 22:20,2016/9/11 6:20,A17,
AQ1027,2016/9/10 22:20,2016/9/11 6:20,B907,
9C8635,2016/9/10 22:20,2016/9/11 6:20,A18,
CZ467,2016/9/10 22:25,2016/9/11 6:25,,
HU7012,2016/9/10 22:25,2016/9/11 6:25,B18,
CZ469,2016/9/10 22:30,2016/9/11 6:30,,
CZ3269,2016/9/10 22:30,2016/9/11 6:30,B08,
YTBKCK,2016/9/10 22:30,2016/9/11 6:30,,
MU5754,2016/9/10 22:30,2016/9/11 6:30,B14,
AQ1021,2016/9/10 22:35,2016/9/11 6:35,B902,
AQ1051,2016/9/10 22:35,2016/9/11 6:35,B909,
CZ3249,2016/9/10 22:35,2016/9/11 6:35,B10,
JD5631,2016/9/10 22:35,2016/9/11 6:35,B15,
HO1078,2016/9/10 22:40,2016/9/11 6:40,A13,
CZ3197,2016/9/10 22:40,2016/9/11 6:40,B04,
MU3502,2016/9/10 22:40,2016/9/11 6:40,B04,
MF1093,2016/9/10 22:40,2016/9/11 6:40,B04,
MU2324,2016/9/10 22:40,2016/9/11 6:40,B16,
CZ9601,2016/9/10 22:40,2016/9/11 6:40,B16,
CZ3323,2016/9/10 22:40,2016/9/11 6:40,B02,
MF1207,2016/9/10 22:40,2016/9/11 6:40,B02,
MU4494,2016/9/10 22:40,2016/9/11 6:40,B02,
ZH3186,2016/9/10 22:45,2016/9/11 6:45,A16,
KY8286,2016/9/10 22:45,2016/9/11 6:45,A16,
MF4384,2016/9/10 22:45,2016/9/11 6:45,B906,
CZ6748,2016/9/10 22:45,2016/9/11 6:45,B906,
MU3636,2016/9/10 22:45,2016/9/11 6:45,B906,
CA1421,2016/9/10 22:45,2016/9/11 6:45,A18,
9C8930,2016/9/10 22:45,2016/9/11 6:45,A14,
CA4585,2016/9/10 22:50,2016/9/11 6:50,A14,
MU2621,2016/9/10 22:50,2016/9/11 6:50,B13,
FX5152,2016/9/10 22:50,2016/9/11 6:50,,
JD5161,2016/9/10 22:50,2016/9/11 6:50,B17,
CA3582,2016/9/10 22:50,2016/9/11 6:50,A15,
ZH9659,2016/9/10 22:50,2016/9/11 6:50,A15,
KY9659,2016/9/10 22:50,2016/9/11 6:50,A15,
BK2787,2016/9/10 22:55,2016/9/11 6:55,A15,
MU3572,2016/9/10 22:55,2016/9/11 6:55,B03,
MF1279,2016/9/10 22:55,2016/9/11 6:55,B03,
CZ3399,2016/9/10 22:55,2016/9/11 6:55,B03,
HO1288,2016/9/10 22:55,2016/9/11 6:55,A17,
MU3974,2016/9/10 22:55,2016/9/11 6:55,A17,
HU7869,2016/9/10 23:00,2016/9/11 7:00,B15,
KY9673,2016/9/10 23:00,2016/9/11 7:00,A16,
ZH9673,2016/9/10 23:00,2016/9/11 7:00,A16,
CA3393,2016/9/10 23:00,2016/9/11 7:00,A16,
KL4451,2016/9/10 23:00,2016/9/11 7:00,B08,
MU4459,2016/9/10 23:00,2016/9/11 7:00,B08,
MF1591,2016/9/10 23:00,2016/9/11 7:00,B08,
CZ3723,2016/9/10 23:00,2016/9/11 7:00,B08,
AF4617,2016/9/10 23:00,2016/9/11 7:00,B08,
ZH4340,2016/9/10 23:05,2016/9/11 7:05,A125,
CA4340,2016/9/10 23:05,2016/9/11 7:05,A125,
SC4340,2016/9/10 23:05,2016/9/11 7:05,A125,
MF1283,2016/9/10 23:05,2016/9/11 7:05,B07,
MU3340,2016/9/10 23:05,2016/9/11 7:05,B07,
AF4414,2016/9/10 23:05,2016/9/11 7:05,B07,
3U3007,2016/9/10 23:05,2016/9/11 7:05,B07,
CZ3403,2016/9/10 23:05,2016/9/11 7:05,B07,
MU3558,2016/9/10 23:05,2016/9/11 7:05,B904,
CZ3635,2016/9/10 23:05,2016/9/11 7:05,B904,
MF1517,2016/9/10 23:05,2016/9/11 7:05,B904,
MU4470,2016/9/10 23:05,2016/9/11 7:05,B214,
CZ3957,2016/9/10 23:05,2016/9/11 7:05,B214,
MF1811,2016/9/10 23:05,2016/9/11 7:05,B214,
HU7153,2016/9/10 23:10,2016/9/11 7:10,B18,
CZ3481,2016/9/10 23:10,2016/9/11 7:10,B219,
AF4618,2016/9/10 23:10,2016/9/11 7:10,B219,
DL7768,2016/9/10 23:10,2016/9/11 7:10,B219,
MF1361,2016/9/10 23:10,2016/9/11 7:10,B219,
MU3360,2016/9/10 23:10,2016/9/11 7:10,B219,
KY9715,2016/9/10 23:10,2016/9/11 7:10,A18,
CA3877,2016/9/10 23:10,2016/9/11 7:10,A18,
ZH9715,2016/9/10 23:10,2016/9/11 7:10,A18,
HU7031,2016/9/10 23:15,2016/9/11 7:15,B225,
KY9681,2016/9/10 23:15,2016/9/11 7:15,A17,
CA3781,2016/9/10 23:15,2016/9/11 7:15,A17,
ZH9681,2016/9/10 23:15,2016/9/11 7:15,A17,
CZ630X,2016/9/10 23:20,2016/9/11 7:20,B09,
MU3424,2016/9/10 23:20,2016/9/11 7:20,B01,
MF4537,2016/9/10 23:20,2016/9/11 7:20,B01,
CZ6915,2016/9/10 23:20,2016/9/11 7:20,B01,
HU7213,2016/9/10 23:20,2016/9/11 7:20,B17,
CA3813,2016/9/10 23:20,2016/9/11 7:20,A131,
KY9615,2016/9/10 23:20,2016/9/11 7:20,A131,
ZH9615,2016/9/10 23:20,2016/9/11 7:20,A131,
JD5171,2016/9/10 23:25,2016/9/11 7:25,B228,
MU5740,2016/9/10 23:25,2016/9/11 7:25,B13,
CZ9659,2016/9/10 23:25,2016/9/11 7:25,B13,
MF3210,2016/9/10 23:25,2016/9/11 7:25,B13,
MU5717,2016/9/10 23:25,2016/9/11 7:25,B13,
ZH9677,2016/9/10 23:25,2016/9/11 7:25,A17,
CZ3539,2016/9/10 23:25,2016/9/11 7:25,B02,
MF1419,2016/9/10 23:25,2016/9/11 7:25,B02,
MU3578,2016/9/10 23:25,2016/9/11 7:25,B02,
KY9667,2016/9/10 23:30,2016/9/11 7:30,A16,
CA3584,2016/9/10 23:30,2016/9/11 7:30,A16,
ZH9667,2016/9/10 23:30,2016/9/11 7:30,A16,
FM9304,2016/9/10 23:30,2016/9/11 7:30,B14,
MU9304,2016/9/10 23:30,2016/9/11 7:30,B14,
CZ3027,2016/9/10 23:30,2016/9/11 7:30,A102,
HU7143,2016/9/10 23:30,2016/9/11 7:30,B235,
JD5169,2016/9/10 23:35,2016/9/11 7:35,B231,
KL4326,2016/9/10 23:35,2016/9/11 7:35,B209,
CZ3392,2016/9/10 23:35,2016/9/11 7:35,B209,
MF1272,2016/9/10 23:35,2016/9/11 7:35,B209,
MU4507,2016/9/10 23:35,2016/9/11 7:35,B209,
ZH9669,2016/9/10 23:35,2016/9/11 7:35,A13,
MF1469,2016/9/10 23:35,2016/9/11 7:35,B205,
CZ3585,2016/9/10 23:35,2016/9/11 7:35,B205,
MU3024,2016/9/10 23:35,2016/9/11 7:35,B205,
HU7848,2016/9/10 23:40,2016/9/11 7:40,B226,
HU7761,2016/9/10 23:40,2016/9/11 7:40,B18,
OQ2356,2016/9/10 23:40,2016/9/11 7:40,B07,
MF1643,2016/9/10 23:40,2016/9/11 7:40,B08,
MU3619,2016/9/10 23:40,2016/9/11 7:40,B08,
CZ3777,2016/9/10 23:40,2016/9/11 7:40,B08,
FM9352,2016/9/10 23:45,2016/9/11 7:45,B14,
MU9352,2016/9/10 23:45,2016/9/11 7:45,B14,
MU2552,2016/9/10 23:45,2016/9/11 7:45,B16,
MU3564,2016/9/10 23:45,2016/9/11 7:45,B906,
CZ3363,2016/9/10 23:45,2016/9/11 7:45,B906,
MF1245,2016/9/10 23:45,2016/9/11 7:45,B906,
MF1595,2016/9/10 23:45,2016/9/11 7:45,B213,
MU4482,2016/9/10 23:45,2016/9/11 7:45,B213,
CZ3727,2016/9/10 23:45,2016/9/11 7:45,B213,
AF4419,2016/9/10 23:45,2016/9/11 7:45,B213,
AQ1055,2016/9/10 23:50,2016/9/11 7:50,B906,
CA4336,2016/9/10 23:50,2016/9/11 7:50,A130,
ZH4336,2016/9/10 23:50,2016/9/11 7:50,A130,
FM9534,2016/9/10 23:50,2016/9/11 7:50,B15,
MU9534,2016/9/10 23:50,2016/9/11 7:50,B15,
ZH9663,2016/9/10 23:50,2016/9/11 7:50,A18,
KY9663,2016/9/10 23:50,2016/9/11 7:50,A18,
CA3405,2016/9/10 23:50,2016/9/11 7:50,A18,
CZ310S,2016/9/10 23:55,2016/9/11 7:55,B206,
HU7121,2016/9/10 23:55,2016/9/11 7:55,B17,
MU3689,2016/9/10 23:55,2016/9/11 7:55,B223,
MF1571,2016/9/10 23:55,2016/9/11 7:55,B223,
CZ3701,2016/9/10 23:55,2016/9/11 7:55,B223,
CZ3101,2016/9/11,2016/9/11 8:00,B03,
MF1003,2016/9/11,2016/9/11 8:00,B03,
MU3117,2016/9/11,2016/9/11 8:00,B03,
CZ3523,2016/9/11,2016/9/11 8:00,B218,
MU3667,2016/9/11,2016/9/11 8:00,B218,
MF1403,2016/9/11,2016/9/11 8:00,B218,
CZ3401,2016/9/11,2016/9/11 8:00,B04,
3U3005,2016/9/11,2016/9/11 8:00,B04,
MU3342,2016/9/11,2016/9/11 8:00,B04,
MF1281,2016/9/11,2016/9/11 8:00,B04,
KL4323,2016/9/11,2016/9/11 8:00,B04,
ZH967U,2016/9/11,2016/9/11 8:00,A127,
CZ3521,2016/9/11,2016/9/11 8:00,B07,
MF1401,2016/9/11,2016/9/11 8:00,B07,
DL7834,2016/9/11,2016/9/11 8:00,B07,
KL4464,2016/9/11,2016/9/11 8:00,B07,
AF9726,2016/9/11,2016/9/11 8:00,B07,
CA1310,2016/9/11 0:05,2016/9/11 8:05,A15,
ZH1310,2016/9/11 0:05,2016/9/11 8:05,A15,
MU5240,2016/9/11 0:05,2016/9/11 8:05,B13,
CZ9641,2016/9/11 0:05,2016/9/11 8:05,B13,
KL4617,2016/9/11 0:05,2016/9/11 8:05,B908,
AF3890,2016/9/11 0:05,2016/9/11 8:05,B908,
CZ3513,2016/9/11 0:05,2016/9/11 8:05,B908,
CZ3601,2016/9/11 0:05,2016/9/11 8:05,B217,
MU3679,2016/9/11 0:05,2016/9/11 8:05,B217,
MF1485,2016/9/11 0:05,2016/9/11 8:05,B217,
HU7804,2016/9/11 0:10,2016/9/11 8:10,B229,
AA7232,2016/9/11 0:10,2016/9/11 8:10,B229,
CZ3913,2016/9/11 0:10,2016/9/11 8:10,B904,
MU4427,2016/9/11 0:10,2016/9/11 8:10,B904,
MF1769,2016/9/11 0:10,2016/9/11 8:10,B904,
CZ6886,2016/9/11 0:10,2016/9/11 8:10,B215,
QF3625,2016/9/11 0:10,2016/9/11 8:10,B215,
MF4508,2016/9/11 0:10,2016/9/11 8:10,B215,
MU4422,2016/9/11 0:10,2016/9/11 8:10,B215,
KL4415,2016/9/11 0:10,2016/9/11 8:10,B215,
CZ3604,2016/9/11 0:10,2016/9/11 8:10,B10,
MU3458,2016/9/11 0:15,2016/9/11 8:15,B02,
MF1499,2016/9/11 0:15,2016/9/11 8:15,B02,
CZ3615,2016/9/11 0:15,2016/9/11 8:15,B02,
AF4404,2016/9/11 0:15,2016/9/11 8:15,B08,
CZ3811,2016/9/11 0:15,2016/9/11 8:15,B08,
MF1671,2016/9/11 0:15,2016/9/11 8:15,B08,
MU4403,2016/9/11 0:15,2016/9/11 8:15,B08,
KL4419,2016/9/11 0:15,2016/9/11 8:15,B08,
CZ3129,2016/9/11 0:15,2016/9/11 8:15,B221,
CZ3037,2016/9/11 0:15,2016/9/11 8:15,A02,
MU3514,2016/9/11 0:20,2016/9/11 8:20,B907,
MF1389,2016/9/11 0:20,2016/9/11 8:20,B907,
CZ3509,2016/9/11 0:20,2016/9/11 8:20,B907,
CZ3133,2016/9/11 0:20,2016/9/11 8:20,B903,
MU3699,2016/9/11 0:20,2016/9/11 8:20,B903,
MF1033,2016/9/11 0:20,2016/9/11 8:20,B903,
KL4401,2016/9/11 0:20,2016/9/11 8:20,A105,
AF4405,2016/9/11 0:20,2016/9/11 8:20,A105,
CZ301,2016/9/11 0:20,2016/9/11 8:20,A105,
QF326,2016/9/11 0:20,2016/9/11 8:20,A105,
CZ3409,2016/9/11 0:20,2016/9/11 8:20,B902,
KL4437,2016/9/11 0:20,2016/9/11 8:20,B902,
QF3633,2016/9/11 0:20,2016/9/11 8:20,B902,
MU3542,2016/9/11 0:20,2016/9/11 8:20,B902,
MF1289,2016/9/11 0:20,2016/9/11 8:20,B902,
CZ3091,2016/9/11 0:25,2016/9/11 8:25,A03,
CZ3131,2016/9/11 0:25,2016/9/11 8:25,B09,
MF1031,2016/9/11 0:25,2016/9/11 8:25,B09,
MU3685,2016/9/11 0:25,2016/9/11 8:25,B09,
MU3500,2016/9/11 0:25,2016/9/11 8:25,B01,
MF1673,2016/9/11 0:25,2016/9/11 8:25,B01,
CZ3813,2016/9/11 0:25,2016/9/11 8:25,B01,
KL4443,2016/9/11 0:25,2016/9/11 8:25,B210,
MF1413,2016/9/11 0:25,2016/9/11 8:25,B210,
MU3633,2016/9/11 0:25,2016/9/11 8:25,B210,
CZ3533,2016/9/11 0:25,2016/9/11 8:25,B210,
MU5302,2016/9/11 0:30,2016/9/11 8:30,B18,
CZ9354,2016/9/11 0:30,2016/9/11 8:30,B18,
CZ3463,2016/9/11 0:30,2016/9/11 8:30,B208,
MU4526,2016/9/11 0:30,2016/9/11 8:30,B208,
AF3428,2016/9/11 0:30,2016/9/11 8:30,B208,
KL4436,2016/9/11 0:30,2016/9/11 8:30,B208,
MF1343,2016/9/11 0:30,2016/9/11 8:30,B208,
CA4394,2016/9/11 0:30,2016/9/11 8:30,A132,
CZ389,2016/9/11 0:30,2016/9/11 8:30,A107,
MF9069,2016/9/11 0:30,2016/9/11 8:30,A107,
JL5028,2016/9/11 0:30,2016/9/11 8:30,A107,
MU3326,2016/9/11 0:35,2016/9/11 8:35,B901,
MF1757,2016/9/11 0:35,2016/9/11 8:35,B901,
CZ3899,2016/9/11 0:35,2016/9/11 8:35,B901,
SC4310,2016/9/11 0:35,2016/9/11 8:35,A16,
CA4310,2016/9/11 0:35,2016/9/11 8:35,A16,
ZH4310,2016/9/11 0:35,2016/9/11 8:35,A16,
MF9041,2016/9/11 0:35,2016/9/11 8:35,A119,
CZ349,2016/9/11 0:35,2016/9/11 8:35,A119,
CZ3031,2016/9/11 0:35,2016/9/11 8:35,A05,
CZ391,2016/9/11 0:40,2016/9/11 8:40,A122,
CZ6589,2016/9/11 0:40,2016/9/11 8:40,B224,
CZ385,2016/9/11 0:40,2016/9/11 8:40,A02,
MF4245,2016/9/11 0:40,2016/9/11 8:40,B224,
JL5026,2016/9/11 0:40,2016/9/11 8:40,A02,
MU3410,2016/9/11 0:40,2016/9/11 8:40,B224,
AF4406,2016/9/11 0:40,2016/9/11 8:40,B224,
KL4631,2016/9/11 0:40,2016/9/11 8:40,B224,
CZ353,2016/9/11 0:40,2016/9/11 8:40,A01,
MF9049,2016/9/11 0:40,2016/9/11 8:40,A01,
CA1396,2016/9/11 0:45,2016/9/11 8:45,A13,
ZH1396,2016/9/11 0:45,2016/9/11 8:45,A13,
CZ3519,2016/9/11 0:45,2016/9/11 8:45,B07,
MU3516,2016/9/11 0:45,2016/9/11 8:45,B07,
MF1399,2016/9/11 0:45,2016/9/11 8:45,B07,
CZ3205,2016/9/11 0:50,2016/9/11 8:50,B04,
MU3550,2016/9/11 0:50,2016/9/11 8:50,B04,
MF1101,2016/9/11 0:50,2016/9/11 8:50,B04,
ZH9657,2016/9/11 0:50,2016/9/11 8:50,A13,
CA3387,2016/9/11 0:50,2016/9/11 8:50,A13,
KY9657,2016/9/11 0:50,2016/9/11 8:50,A13,
CZ357,2016/9/11 0:50,2016/9/11 8:50,A121,
MF9007,2016/9/11 0:50,2016/9/11 8:50,A121,
MF1799,2016/9/11 0:50,2016/9/11 8:50,B908,
MU3530,2016/9/11 0:50,2016/9/11 8:50,B908,
CZ3945,2016/9/11 0:50,2016/9/11 8:50,B908,
CA3869,2016/9/11 0:55,2016/9/11 8:55,A14,
ZH9713,2016/9/11 0:55,2016/9/11 8:55,A14,
KY9713,2016/9/11 0:55,2016/9/11 8:55,A14,
ZH9485,2016/9/11 0:55,2016/9/11 8:55,A133,
KY9485,2016/9/11 0:55,2016/9/11 8:55,A133,
CA3751,2016/9/11 0:55,2016/9/11 8:55,A133,
CZ3609,2016/9/11 1:00,2016/9/11 9:00,B230,
KL4605,2016/9/11 1:00,2016/9/11 9:00,B230,
DL7836,2016/9/11 1:00,2016/9/11 9:00,B230,
MU3671,2016/9/11 1:00,2016/9/11 9:00,B230,
MF1493,2016/9/11 1:00,2016/9/11 9:00,B230,
MF1001,2016/9/11 1:00,2016/9/11 9:00,A17,
MU3119,2016/9/11 1:00,2016/9/11 9:00,A17,
KL4599,2016/9/11 1:00,2016/9/11 9:00,A17,
DL7782,2016/9/11 1:00,2016/9/11 9:00,A17,
CZ3099,2016/9/11 1:00,2016/9/11 9:00,A17,
QF332,2016/9/11 1:00,2016/9/11 9:00,A05,
KL4595,2016/9/11 1:00,2016/9/11 9:00,A05,
CZ343,2016/9/11 1:00,2016/9/11 9:00,A05,
AF4408,2016/9/11 1:00,2016/9/11 9:00,A05,
YTDER552,2016/9/11 1:00,2016/9/11 9:00,,
CA1838,2016/9/11 1:05,2016/9/11 9:05,A128,
ZH1838,2016/9/11 1:05,2016/9/11 9:05,A128,
SC1838,2016/9/11 1:05,2016/9/11 9:05,A128,
CZ3069,2016/9/11 1:05,2016/9/11 9:05,A111,
CZ3843,2016/9/11 1:05,2016/9/11 9:05,B08,
MF1223,2016/9/11 1:05,2016/9/11 9:05,B903,
MU3566,2016/9/11 1:05,2016/9/11 9:05,B903,
CZ3339,2016/9/11 1:05,2016/9/11 9:05,B903,
HU7323,2016/9/11 1:10,2016/9/11 9:10,B14,
ZH3203,2016/9/11 1:10,2016/9/11 9:10,A110,
NH934,2016/9/11 1:10,2016/9/11 9:10,A110,
CA6703,2016/9/11 1:10,2016/9/11 9:10,A110,
MU3464,2016/9/11 1:10,2016/9/11 9:10,B212,
CZ6784,2016/9/11 1:10,2016/9/11 9:10,B212,
MF4415,2016/9/11 1:10,2016/9/11 9:10,B212,
CZ3972,2016/9/11 1:15,2016/9/11 9:15,B03,
MU3029,2016/9/11 1:15,2016/9/11 9:15,B03,
MF1824,2016/9/11 1:15,2016/9/11 9:15,B03,
CA4354,2016/9/11 1:15,2016/9/11 9:15,A13,
ZH4354,2016/9/11 1:15,2016/9/11 9:15,A13,
SC4354,2016/9/11 1:15,2016/9/11 9:15,A13,
DL7777,2016/9/11 1:15,2016/9/11 9:15,B219,
CZ3203,2016/9/11 1:15,2016/9/11 9:15,B219,
MF1099,2016/9/11 1:15,2016/9/11 9:15,B219,
MU4445,2016/9/11 1:15,2016/9/11 9:15,B219,
CZ6641,2016/9/11 1:15,2016/9/11 9:15,B905,
MF1489,2016/9/11 1:20,2016/9/11 9:20,B02,
KL4417,2016/9/11 1:20,2016/9/11 9:20,B02,
MU3428,2016/9/11 1:20,2016/9/11 9:20,B02,
CZ3605,2016/9/11 1:20,2016/9/11 9:20,B02,
HU7275,2016/9/11 1:20,2016/9/11 9:20,B13,
ZH9719,2016/9/11 1:20,2016/9/11 9:20,A16,
CA3851,2016/9/11 1:20,2016/9/11 9:20,A16,
KY9719,2016/9/11 1:20,2016/9/11 9:20,A16,
CZ3529,2016/9/11 1:25,2016/9/11 9:25,B09,
MF1409,2016/9/11 1:25,2016/9/11 9:25,B09,
MU3406,2016/9/11 1:25,2016/9/11 9:25,B09,
KY9617,2016/9/11 1:25,2016/9/11 9:25,A18,
ZH9617,2016/9/11 1:25,2016/9/11 9:25,A18,
CA3411,2016/9/11 1:25,2016/9/11 9:25,A18,
CZ3649,2016/9/11 1:25,2016/9/11 9:25,B10,
MF1527,2016/9/11 1:25,2016/9/11 9:25,B10,
MU3416,2016/9/11 1:25,2016/9/11 9:25,B10,
CZ337,2016/9/11 1:25,2016/9/11 9:25,A01,
KE5816,2016/9/11 1:25,2016/9/11 9:25,A01,
MU5304,2016/9/11 1:30,2016/9/11 9:30,B17,
CZ303,2016/9/11 1:30,2016/9/11 9:30,A103,
MU2541,2016/9/11 1:35,2016/9/11 9:35,B16,
PN6254,2016/9/11 1:35,2016/9/11 9:35,B235,
CZ8681,2016/9/11 1:40,2016/9/11 9:40,B907,
MF8306,2016/9/11 1:40,2016/9/11 9:40,B214,
CZ5214,2016/9/11 1:40,2016/9/11 9:40,B214,
CZ8673,2016/9/11 1:45,2016/9/11 9:45,B908,
ZH9635,2016/9/11 1:45,2016/9/11 9:45,A127,
KY9635,2016/9/11 1:45,2016/9/11 9:45,A127,
CA3397,2016/9/11 1:45,2016/9/11 9:45,A127,
MF1663,2016/9/11 1:45,2016/9/11 9:45,B07,
MU3486,2016/9/11 1:45,2016/9/11 9:45,B07,
CZ3803,2016/9/11 1:45,2016/9/11 9:45,B07,
CZ3049,2016/9/11 1:45,2016/9/11 9:45,A04,
HU7217,2016/9/11 1:50,2016/9/11 9:50,B232,
KY9550,2016/9/11 1:50,2016/9/11 9:50,A13,
ZH9550,2016/9/11 1:50,2016/9/11 9:50,A13,
CA3435,2016/9/11 1:50,2016/9/11 9:50,A13,
KA783,2016/9/11 1:55,2016/9/11 9:55,A116,
CX5783,2016/9/11 1:55,2016/9/11 9:55,A116,
MU3525,2016/9/11 1:55,2016/9/11 9:55,B208,
MF1750,2016/9/11 1:55,2016/9/11 9:55,B208,
CZ3892,2016/9/11 1:55,2016/9/11 9:55,B208,
